sepal_largura,sepal_comprimento,tipo
5.1,3.5,"virginica"
4.7,3.2,"virginica"
5,3.6,"virginica"
4.6,3.4,"virginica"
4.4,2.9,"virginica"
5.4,3.7,"virginica"
4.8,3,"virginica"
5.8,4,"virginica"
5.4,3.9,"virginica"
5.7,3.8,"virginica"
5.4,3.4,"virginica"
4.6,3.6,"virginica"
4.8,3.4,"virginica"
5,3.4,"virginica"
5.2,3.4,"virginica"
4.8,3.1,"virginica"
5.2,4.1,"virginica"
4.9,3.1,"virginica"
5.5,3.5,"virginica"
4.4,3,"virginica"
5,3.5,"virginica"
4.4,3.2,"virginica"
5.1,3.8,"virginica"
5.1,3.8,"virginica"
5.3,3.7,"virginica"
5.8,2.7,"setosa"
6.3,2.9,"setosa"
7.6,3,"setosa"
7.3,2.9,"setosa"
7.2,3.6,"setosa"
6.4,2.7,"setosa"
5.7,2.5,"setosa"
6.4,3.2,"setosa"
7.7,3.8,"setosa"
6,2.2,"setosa"
5.6,2.8,"setosa"
6.3,2.7,"setosa"
7.2,3.2,"setosa"
6.1,3,"setosa"
7.2,3,"setosa"
7.9,3.8,"setosa"
6.3,2.8,"setosa"
7.7,3,"setosa"
6.4,3.1,"setosa"
6.9,3.1,"setosa"
6.9,3.1,"setosa"
6.8,3.2,"setosa"
6.7,3,"setosa"
6.5,3,"setosa"
5.9,3,"setosa"
